question_id	section	state_code	question_number_in_section	question_text	option_a	option_b	option_c	option_d	source_notes
1	general	DE	1	In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …	hier Religionsfreiheit gilt.	die Menschen Steuern zahlen.	die Menschen das Wahlrecht haben.	hier Meinungsfreiheit gilt.	
2	general	DE	2	In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …	Geschichtsunterricht teilnimmt.	Religionsunterricht teilnimmt.	Politikunterricht teilnimmt.	Sprachunterricht teilnimmt.	
3	general	DE	3	Deutschland ist ein Rechtsstaat. Was ist damit gemeint?	Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.	Der Staat muss sich nicht an die Gesetze halten.	Nur Deutsche müssen die Gesetze befolgen.	Die Gerichte machen die Gesetze.	
4	general	DE	4	Welches Recht gehört zu den Grundrechten in Deutschland?	Waffenbesitz	Faustrecht	Meinungsfreiheit	Selbstjustiz	
5	general	DE	5	Wahlen in Deutschland sind frei. Was bedeutet das?	Man darf Geld annehmen, wenn man dafür eine bestimmte Kandidatin/einen bestimmten Kandidaten wählt.	Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.	Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.	Alle wahlberechtigten Personen müssen wählen.	
6	general	DE	6	Wie heißt die deutsche Verfassung?	Volksgesetz	Bundesgesetz	Deutsches Gesetz	Grundgesetz	
7	general	DE	7	Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …	Glaubens- und Gewissensfreiheit	Unterhaltung	Arbeit	Wohnung	
8	general	DE	8	Was steht nicht im Grundgesetz von Deutschland?	Die Würde des Menschen ist unantastbar.	Alle sollen gleich viel Geld haben.	Jeder Mensch darf seine Meinung sagen.	Alle sind vor dem Gesetz gleich.	
9	general	DE	9	Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf …	Schutz der Familie	Menschenwürde	Asyl	Meinungsfreiheit	
10	general	DE	10	Was ist mit dem deutschen Grundgesetz vereinbar?	die Prügelstrafe	die Folter	die Todesstrafe	die Geldstrafe	
11	general	DE	11	Wie wird die Verfassung der Bundesrepublik Deutschland genannt?	Grundgesetz	Bundesverfassung	Gesetzbuch	Verfassungsvertrag	
12	general	DE	12	Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?	Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.	Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.	Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.	Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.	
13	general	DE	13	"Im Parlament steht der Begriff ""Opposition"" für …"	die regierenden Parteien.	die Fraktion mit den meisten Abgeordneten.	alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.	alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.	
14	general	DE	14	Meinungsfreiheit in Deutschland heißt, dass ich …				Passanten auf der Straße beschimpfen darf. meine Meinung im Internet äußern kann. Nazi-, Hamas- oder Islamischer Staat-Symbole öffentlich tragen darf. meine Meinung nur dann äußern darf, solange ich der Regierung nicht widerspreche.	
